Year,County,Region,Placement Intention,Count,Average Months since Termination of Parental Rights
2020,Childress,1-Lubbock,Not Permanent,1,114.870967741935
2020,Childress,1-Lubbock,Permanent,5,14.5806451612903
2020,Clay,2-Abilene,Not Permanent,1,1.93548387096774
2020,Coleman,2-Abilene,Not Permanent,3,25.3225806451613
2020,Coleman,2-Abilene,Permanent,3,36.0537634408602
2020,Collin,3-Arlington,Not Permanent,17,28.4345351043643
2020,Collin,3-Arlington,Permanent,32,11.0221774193548
2020,Collingsworth,1-Lubbock,Permanent,1,9.7741935483871
2020,Colorado,6-Houston,Not Permanent,1,22.2903225806452
2020,Colorado,6-Houston,Permanent,1,1.32258064516129
2020,Comal,8-San Antonio,Not Permanent,8,23.9112903225806
2020,Comal,8-San Antonio,Permanent,33,10.8504398826979
2020,Comanche,2-Abilene,Not Permanent,3,12.0537634408602
2020,Comanche,2-Abilene,Permanent,6,7.75806451612903
