Econ_Region,Year,County,Region,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV,Physician_Access,Uninsured Rate,Graduation Rate,Personal Income per Capita,Average Wages,Population Density
Alamo,2015,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,3083,15034,78,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11504,48221,170,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,10092,50864,152,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4435,18565,124,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5497,20651,57,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4584,19818,31,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4851,25393,35,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,8929,39084,33,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22779,91894,220,43,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12922,48782,180,23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3496,20912,42,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,503249,1935868,4834,705,188,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4497,18850,120,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1543,7521,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5587,22287,55,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4515,21030,97,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Comal,8-San Antonio,48091,-98.27814516,29.80816362,29039,129967,455,69,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4847,25547,39,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11478,48680,156,36,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,39197,153319,264,41,20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,9162,40398,27,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4666,19978,31,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5525,20796,58,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,10147,51140,174,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11343,48091,95,22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3858,15151,29,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,3136,15097,69,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2016,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22814,93015,213,36,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,13029,49504,201,37,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3455,20992,49,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,510454,1974510,5437,837,122,95,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5597,22436,64,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11469,49136,140,34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Comal,8-San Antonio,48091,-98.27814516,29.80816362,29896,134065,417,67,12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4740,20155,28,9,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4558,19130,113,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4874,25682,35,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,9407,41764,29,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3951,15330,24,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4569,21199,76,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,39851,157370,254,28,14,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2017,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,3180,15171,75,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
